,Title_Review,Stars,Company_name,Recommend,CEO_approval,Business_outlook,Pros,Cons,Employee_seniority,Location,Date,id
2995,"['good', 'nothing', 'want', 'know', 'amazon', ""'s"", 'process', 'work']",3.0,['amazon'],['neutral'],['neutral'],['neutral'],"['decent', 'pay', 'pto', 'vto', 'available']","['hot', 'summer', 'work', 'sometimes', 'overwhelming', 'requirement', 'crazy', 'high']","['former', 'employee', '1', 'year']","['rialto', 'ca']","['jan.', '24', '2023']",empReview_72951032
2996,['okay'],3.0,['amazon'],['negative'],['negative'],['negative'],"['overtime', 'free', 'drink', 'free', 'park', 'meet', 'good', 'people']","['long', 'hour', 'lack', 'communication', 'team', 'leader', 'manager']","['former', 'employee', '1', 'year']","['derby', 'england']","['jan.', '24', '2023']",empReview_72952515
2997,['experience'],3.0,['amazon'],['neutral'],['neutral'],['neutral'],"['competitive', 'salary', 'hardware', 'tech']","['poor', 'management', 'benefit', 'bad', 'tech', 'company']","['current', 'employee']","['seattle', 'wa']","['jan.', '24', '2023']",empReview_72954884
2998,"['warehouse', 'worker']",3.0,['amazon'],['neutral'],['neutral'],['neutral'],"['great', 'surround', 'good', 'team', 'absolutely', 'great', 'benefit']","['long', 'hour', 'foot', 'time']","['former', 'employee', 'less', '1', 'year']",['nan'],"['jan.', '24', '2023']",empReview_72958126
2999,"['order', 'picker', 'review']",3.0,['amazon'],['neutral'],['neutral'],['neutral'],"['flexible', 'hour', 'work']","['job', 'train', 'position', 'bad', 'well', 'manage']","['former', 'employee']",['nan'],"['jan.', '24', '2023']",empReview_72958717
3000,"['people', 'management']",3.0,['amazon'],['positive'],['positive'],['error'],"['one', 'best', 'warehouse', 'ecommerce', 'company', 'amazon']","['priority', 'certain', 'community', 'use', 'people', 'seasonal', 'peak', 'hour']","['former', 'employee', 'less', '1', 'year']","['london', 'england']","['jan.', '25', '2023']",empReview_72973300
3001,"['average', 'company']",3.0,['amazon'],['negative'],['negative'],['negative'],"['great', 'benefit', 'pay', 'flexible', 'work', 'lovations']","['poor', 'leadership', 'unable', 'make', 'decision', 'provide', 'clarity', 'future', 'business', 'working']","['current', 'employee', '3', 'year']","['seattle', 'wa']","['jan.', '25', '2023']",empReview_72974465
3002,"['decent', 'pay']",3.0,['amazon'],['neutral'],['neutral'],['neutral'],"['good', 'work', 'flow', 'helpful', 'staff']","[""'re"", 'disposable', 'lot', 'room', 'growth']","['former', 'employee']","['wayne', 'nj']","['jan.', '25', '2023']",empReview_72974608
3003,"['good', 'reward', 'package']",3.0,['amazon'],['neutral'],['neutral'],['neutral'],"['salary', 'sign', 'bonus', 'share', 'option', 'benefit', 'package']","['difficult', 'culture', 'long', 'hour']","['former', 'employee', 'less', '1', 'year']",['nan'],"['jan.', '25', '2023']",empReview_72975714
3004,"['hard', 'work']",3.0,['amazon'],['negative'],['negative'],['negative'],"['good', 'money', 'people', 'look', 'quick', 'income', 'weekly', 'pay', 'also']","['get', 'work', 'hard']","['current', 'employee']",['nan'],"['jan.', '25', '2023']",empReview_72978758
3005,"['good', 'team']",3.0,['amazon'],['positive'],['negative'],['neutral'],"['amazon', 'large', 'group', 'startups', 'find', 'niche', 'short', 'span', 'time']","['lot', 'bureaucracy', 'company', 'work', 'problem', 'even', 'require']","['former', 'employee']",['nan'],"['jan.', '25', '2023']",empReview_72979156
3006,['ok'],3.0,['amazon'],['neutral'],['neutral'],['neutral'],"['big', 'name', 'cv', 'good', 'environment']","['bad', 'management', 'specially', 'egypt']","['former', 'employee']","['cairo', 'governorate']","['jan.', '25', '2023']",empReview_72980461
3007,['good'],3.0,['amazon'],['neutral'],['neutral'],['neutral'],"['good', 'pay', 'good', 'hour', 'good', 'environment']","['sometimes', 'worked', 'overtime', 'travel', 'night']","['former', 'employee']",['nan'],"['jan.', '25', '2023']",empReview_72980775
3008,"['full', 'workload']",3.0,['amazon'],['neutral'],['neutral'],['neutral'],"['learn', 'lot', 'company']","['good', 'place', 'life']","['former', 'employee', '3', 'year']","['seattle', 'wa']","['jan.', '25', '2023']",empReview_72981306
3009,"['great', 'benefit']",5.0,['amazon'],['neutral'],['neutral'],['neutral'],"['good', 'salary', 'great', 'team', 'outstanding', 'professional']","['con', 'role']","['current', 'employee', '1', 'year']",['nan'],"['jan.', '9', '2023']",empReview_72451660
3010,"['world', ""'s"", 'best', 'employeer', ""'ve"", 'get', 'curiousity', 'grit', 'drive']",5.0,['amazon'],['neutral'],['neutral'],['neutral'],"['flexible', 'fast', 'lot', 'room', 'invent', 'build']","['siloed', 'due', 'size', 'difficult', 'navigate']","['current', 'employee', 'less', '1', 'year']",['nan'],"['jan.', '9', '2023']",empReview_72452829
3011,"['aws', 'proserve', 'dream', 'place', 'consultant']",5.0,['amazon'],['positive'],['positive'],['positive'],"['scope', 'innovation', 'high', 'plenty', 'opportunity', 'learn', 'showcase', 'skill', 'importance', 'inclusion', 'diversity', 'equity', 'leadership', 'principle', 'lay', 'aws', 'apply', 'real', 'life']","['time', 'management', 'become', 'tricky', 'improper', 'time', 'management', 'lead', 'burn']","['current', 'employee', 'less', '1', 'year']",['nan'],"['jan.', '9', '2023']",empReview_72453690
3012,"['best', 'secure', 'job']",5.0,['amazon'],['positive'],['positive'],['positive'],"['supportive', 'invironment', 'pressure', 'good', 'training']",['con'],"['current', 'employee']",['nan'],"['jan.', '9', '2023']",empReview_72455471
3013,['job'],5.0,['amazon'],['neutral'],['neutral'],['neutral'],"[""n't"", 'deal', 'customer']","['con', 'could', ""'ve"", 'think']","['former', 'employee']",['nan'],"['jan.', '9', '2023']",empReview_72456529
3014,"['best', 'employer']",5.0,['amazon'],['neutral'],['neutral'],['neutral'],"['work', 'life', 'balance', 'multitask', 'learn', 'development', 'opportunity']","['nothing', 'think', 'good', 'pay', 'package']","['current', 'employee']",['nan'],"['jan.', '9', '2023']",empReview_72456784
