id,current_employee,Pros_Dominant_Topic,Pros_Topic_Perc_Contrib,Pros_Keywords,Cons_Dominant_Topic,Cons_Topic_Perc_Contrib,Cons_Keywords
empReview_63345664,current employee,1,0.5201,"opportunity, learn, amazon, lot, growth, work, team, company, get, people",2,0.599,"n't, con, job, manager, amazon, employee, like, make, people, many"
empReview_63315447,current employee,0,0.9587,"good, work, great, pay, benefit, time, job, environment, day, salary",0,0.9332,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_63955939,current employee,1,0.6754,"opportunity, learn, amazon, lot, growth, work, team, company, get, people",1,0.7875,"get, bad, pay, balance, good, culture, life, team, could, company"
empReview_63257525,current employee,0,0.7617,"good, work, great, pay, benefit, time, job, environment, day, salary",2,0.7875,"n't, con, job, manager, amazon, employee, like, make, people, many"
empReview_63262511,current employee,0,0.9649,"good, work, great, pay, benefit, time, job, environment, day, salary",1,0.6604,"get, bad, pay, balance, good, culture, life, team, could, company"
empReview_63281398,current employee,0,0.7833,"good, work, great, pay, benefit, time, job, environment, day, salary",1,0.6605,"get, bad, pay, balance, good, culture, life, team, could, company"
empReview_63102975,former employee,0,0.7436,"good, work, great, pay, benefit, time, job, environment, day, salary",0,0.7014,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_63112790,current employee,1,0.8246,"opportunity, learn, amazon, lot, growth, work, team, company, get, people",1,0.7171,"get, bad, pay, balance, good, culture, life, team, could, company"
empReview_63051558,current employee,1,0.8884,"opportunity, learn, amazon, lot, growth, work, team, company, get, people",0,0.6179,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_64734294,former employee,0,0.8416,"good, work, great, pay, benefit, time, job, environment, day, salary",0,0.6192,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_63724190,former employee,0,0.9217,"good, work, great, pay, benefit, time, job, environment, day, salary",1,0.6199,"get, bad, pay, balance, good, culture, life, team, could, company"
empReview_63078057,former employee,0,0.9381,"good, work, great, pay, benefit, time, job, environment, day, salary",0,0.6264,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_63663719,current employee,0,0.9256,"good, work, great, pay, benefit, time, job, environment, day, salary",0,0.8692,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_63019143,former employee,1,0.6394,"opportunity, learn, amazon, lot, growth, work, team, company, get, people",2,0.8635,"n't, con, job, manager, amazon, employee, like, make, people, many"
empReview_63022827,former employee,0,0.6133,"good, work, great, pay, benefit, time, job, environment, day, salary",0,0.5073,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_63695989,current employee,0,0.9219,"good, work, great, pay, benefit, time, job, environment, day, salary",0,0.6181,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_61254355,current employee,0,0.7039,"good, work, great, pay, benefit, time, job, environment, day, salary",0,0.4941,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_60411591,former employee,0,0.7599,"good, work, great, pay, benefit, time, job, environment, day, salary",1,0.825,"get, bad, pay, balance, good, culture, life, team, could, company"
empReview_60463961,former employee,0,0.5575,"good, work, great, pay, benefit, time, job, environment, day, salary",0,0.8953,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_60466380,current employee,1,0.5778,"opportunity, learn, amazon, lot, growth, work, team, company, get, people",2,0.4193,"n't, con, job, manager, amazon, employee, like, make, people, many"
empReview_61179182,former employee,0,0.926,"good, work, great, pay, benefit, time, job, environment, day, salary",0,0.6954,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_61182312,former employee,0,0.8721,"good, work, great, pay, benefit, time, job, environment, day, salary",0,0.5861,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_60368395,current employee,0,0.9377,"good, work, great, pay, benefit, time, job, environment, day, salary",0,0.8692,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_60381301,current employee,0,0.9041,"good, work, great, pay, benefit, time, job, environment, day, salary",0,0.8255,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_61128701,current employee,0,0.6772,"good, work, great, pay, benefit, time, job, environment, day, salary",2,0.5173,"n't, con, job, manager, amazon, employee, like, make, people, many"
empReview_61132623,current employee,1,0.7906,"opportunity, learn, amazon, lot, growth, work, team, company, get, people",2,0.862,"n't, con, job, manager, amazon, employee, like, make, people, many"
empReview_56683913,former employee,1,0.8372,"opportunity, learn, amazon, lot, growth, work, team, company, get, people",0,0.9213,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_56717783,current employee,0,0.9336,"good, work, great, pay, benefit, time, job, environment, day, salary",2,0.5079,"n't, con, job, manager, amazon, employee, like, make, people, many"
empReview_56008000,current employee,0,0.5787,"good, work, great, pay, benefit, time, job, environment, day, salary",0,0.7001,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_56014370,current employee,1,0.5908,"opportunity, learn, amazon, lot, growth, work, team, company, get, people",0,0.9251,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_55980272,current employee,0,0.7163,"good, work, great, pay, benefit, time, job, environment, day, salary",0,0.3695,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_57362866,former employee,0,0.6896,"good, work, great, pay, benefit, time, job, environment, day, salary",2,0.6106,"n't, con, job, manager, amazon, employee, like, make, people, many"
empReview_55919209,current employee,1,0.5946,"opportunity, learn, amazon, lot, growth, work, team, company, get, people",1,0.5047,"get, bad, pay, balance, good, culture, life, team, could, company"
empReview_55921841,current employee,0,0.9368,"good, work, great, pay, benefit, time, job, environment, day, salary",0,0.8692,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_55924855,current employee,1,0.82,"opportunity, learn, amazon, lot, growth, work, team, company, get, people",0,0.4953,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_55938317,former employee,0,0.9261,"good, work, great, pay, benefit, time, job, environment, day, salary",0,0.8953,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_55939097,current employee,0,0.5366,"good, work, great, pay, benefit, time, job, environment, day, salary",0,0.5857,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_55897958,former employee,0,0.6707,"good, work, great, pay, benefit, time, job, environment, day, salary",0,0.8953,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_55869205,current employee,0,0.6739,"good, work, great, pay, benefit, time, job, environment, day, salary",2,0.5889,"n't, con, job, manager, amazon, employee, like, make, people, many"
empReview_55870207,current employee,1,0.5304,"opportunity, learn, amazon, lot, growth, work, team, company, get, people",1,0.7674,"get, bad, pay, balance, good, culture, life, team, could, company"
empReview_55685244,current employee,0,0.7478,"good, work, great, pay, benefit, time, job, environment, day, salary",0,0.8953,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_55870809,former employee,0,0.9261,"good, work, great, pay, benefit, time, job, environment, day, salary",0,0.7968,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_56466182,current employee,1,0.5912,"opportunity, learn, amazon, lot, growth, work, team, company, get, people",1,0.5502,"get, bad, pay, balance, good, culture, life, team, could, company"
empReview_56466192,current employee,1,0.8738,"opportunity, learn, amazon, lot, growth, work, team, company, get, people",0,0.8953,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_56476851,current employee,0,0.9252,"good, work, great, pay, benefit, time, job, environment, day, salary",2,0.5315,"n't, con, job, manager, amazon, employee, like, make, people, many"
empReview_56482114,current employee,1,0.7024,"opportunity, learn, amazon, lot, growth, work, team, company, get, people",0,0.8756,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_55821881,current employee,0,0.8732,"good, work, great, pay, benefit, time, job, environment, day, salary",0,0.4684,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_56465204,current employee,1,0.5964,"opportunity, learn, amazon, lot, growth, work, team, company, get, people",0,0.5231,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_55826468,current employee,0,0.9357,"good, work, great, pay, benefit, time, job, environment, day, salary",2,0.5234,"n't, con, job, manager, amazon, employee, like, make, people, many"
empReview_56419418,former employee,0,0.9076,"good, work, great, pay, benefit, time, job, environment, day, salary",0,0.8947,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_56461332,current employee,0,0.9003,"good, work, great, pay, benefit, time, job, environment, day, salary",1,0.5755,"get, bad, pay, balance, good, culture, life, team, could, company"
empReview_57191571,former employee,0,0.9384,"good, work, great, pay, benefit, time, job, environment, day, salary",0,0.6865,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_55760790,current employee,0,0.625,"good, work, great, pay, benefit, time, job, environment, day, salary",0,0.6918,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_55773725,former employee,0,0.8032,"good, work, great, pay, benefit, time, job, environment, day, salary",0,0.9103,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_55775082,former employee,0,0.9468,"good, work, great, pay, benefit, time, job, environment, day, salary",0,0.6283,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_56363718,former employee,0,0.9536,"good, work, great, pay, benefit, time, job, environment, day, salary",0,0.9345,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_55552676,current employee,0,0.9466,"good, work, great, pay, benefit, time, job, environment, day, salary",2,0.6444,"n't, con, job, manager, amazon, employee, like, make, people, many"
empReview_56164555,current employee,0,0.8047,"good, work, great, pay, benefit, time, job, environment, day, salary",0,0.6157,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_55386396,current employee,0,0.7437,"good, work, great, pay, benefit, time, job, environment, day, salary",1,0.7301,"get, bad, pay, balance, good, culture, life, team, could, company"
empReview_55497397,former employee,1,0.5619,"opportunity, learn, amazon, lot, growth, work, team, company, get, people",0,0.8254,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_55505982,former employee,0,0.9068,"good, work, great, pay, benefit, time, job, environment, day, salary",0,0.4966,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_55526913,current employee,0,0.5734,"good, work, great, pay, benefit, time, job, environment, day, salary",0,0.5357,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_55529230,current employee,1,0.5137,"opportunity, learn, amazon, lot, growth, work, team, company, get, people",2,0.511,"n't, con, job, manager, amazon, employee, like, make, people, many"
empReview_56106101,current employee,0,0.8104,"good, work, great, pay, benefit, time, job, environment, day, salary",0,0.6193,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_56118310,current employee,0,0.9545,"good, work, great, pay, benefit, time, job, environment, day, salary",0,0.8953,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
